track_id,duration,name,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,release_date,artist_id,artist_name
4tqcoej1zPvwePZCzuAjJd,239266,Wet Dreamz,86,0.495,0.722,-8.108,0.357,0.0697,0.0,0.113,0.539,175.627,0UMMIkurRUmkruZ3KGBLtG,2014 Forest Hills Drive,2014-12-09,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
2JvzF1RMd7lE3KmFlsyZD8,213593,MIDDLE CHILD,84,0.837,0.364,-11.713,0.276,0.149,0.0,0.271,0.463,123.984,3XzSOIE6zGLliuqsVGLmUc,MIDDLE CHILD,2019-01-23,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
5wxYxygyHpbgv0EXZuqb9V,214701,on the street (with J. Cole),84,0.681,0.821,-5.12,0.131,0.532,0.00111,0.0921,0.813,94.074,70xdtgH5XuYTqBNdNbUwGO,on the street (with J. Cole),2023-03-03,6l3HvQ5sa6mXTsMTB19rO5,j-hope
2wAJTrFhCnQyNSD3oUgTZO,235320,Work Out,83,0.831,0.427,-6.903,0.106,0.0531,0.0,0.307,0.216,93.004,0fhmJYVhW0e4i33pCLPA5i,Cole World: The Sideline Story,2011-09-27,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
1D3z6HTiQsNmZxjl7F7eoG,218801,m y . l i f e (with 21 Savage & Morray),81,0.597,0.587,-7.026,0.137,0.0622,0.0,0.214,0.0753,140.021,4JAvwK4APPArjIsOdGoJXX,The Off-Season,2021-05-14,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
0Fs9cdPDhptWEDJmiCbkEW,296520,She Knows (feat. Amber Coffman & Cults),80,0.766,0.74,-10.363,0.0807,0.0193,0.0784,0.229,0.183,118.008,5FP9keIJnlSCKnkdVOf623,Born Sinner (Deluxe Version),2013-06-18,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
2uwnP6tZVVmTovzX5ELooy,241160,Power Trip (feat. Miguel),79,0.667,0.608,-7.054,0.216,0.324,0.000198,0.426,0.475,99.992,5FP9keIJnlSCKnkdVOf623,Born Sinner (Deluxe Version),2013-06-18,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
2e3Ea0o24lReQFR4FA7yXH,211496,Love Yourz,79,0.677,0.638,-8.631,0.333,0.589,0.0,0.193,0.435,82.81,0UMMIkurRUmkruZ3KGBLtG,2014 Forest Hills Drive,2014-12-09,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
1OAh8uOEOvTDqkKFsKksCi,204173,Wild Thoughts (feat. Rihanna & Bryson Tiller),78,0.671,0.672,-3.094,0.0688,0.0329,0.0,0.118,0.632,97.979,4JBZ0QHveEpESepanNBG8A,Grateful,2017-06-22,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
1EJIcDYXwSqipW5dFe4uJz,236524,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),79,0.477,0.727,-4.053,0.286,0.000866,0.0,0.108,0.227,150.062,5kE2OAuUYGBqqzscqgBXXf,KHALED KHALED,2021-04-30,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
1sbEeUY8KsdvgiQi26JBFz,200221,POPSTAR (feat. Drake),71,0.803,0.565,-4.711,0.235,0.0558,0.0,0.141,0.474,163.085,5kE2OAuUYGBqqzscqgBXXf,KHALED KHALED,2021-04-30,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
3gruCKVuhCsRjs3a3dG8CA,219270,GREECE (feat. Drake),70,0.687,0.336,-10.748,0.0456,0.0755,0.0,0.126,0.215,85.828,5kE2OAuUYGBqqzscqgBXXf,KHALED KHALED,2021-04-30,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
7Ddk8FhoYKdsVoX9AOCPMm,178176,STAYING ALIVE (feat. Drake & Lil Baby),71,0.677,0.495,-7.174,0.0821,0.0668,0.0,0.319,0.152,129.974,6NuGZnOc88LcZpEkJIbO50,GOD DID,2022-08-26,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
3DXncPQOG4VBw3QHh3S817,288600,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",73,0.609,0.668,-4.284,0.0367,0.0552,0.0,0.167,0.811,80.924,4JBZ0QHveEpESepanNBG8A,Grateful,2017-06-22,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
510mvRgE4jLSsJcBh2pH0j,47354,NO SECRET (feat. Drake),73,0.398,0.626,-4.164,0.0367,0.195,2.55e-05,0.16,0.0404,106.733,0Ugwmu29r0H1nqIJJoaL9w,GOD DID,2022-08-25,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
4nmD4awtUUCC4AGETpUiuP,181665,Big Energy (feat. DJ Khaled) - Remix,70,0.867,0.771,-3.688,0.0939,0.0385,0.0,0.133,0.715,106.021,7yQ3QGLWN0YvBuImU7bVc3,Big Energy (feat. DJ Khaled) [Remix],2022-03-31,0QHgL1lAIqAw0HtD7YldmP,Latto
12PNcnMsjsZ3eHm62t8hiy,232506,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",71,0.545,0.781,-3.616,0.185,0.0139,0.0,0.161,0.277,150.097,1yX1ZzW6TBvQ1qeNpbiONH,Victory,2010-03-02,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
608a1wIsSd5KzMEqm1O7w3,296146,I'm On One,72,0.413,0.807,-3.499,0.318,0.0536,0.0,0.631,0.438,149.33,7FyxsUO4kVqRfo2ne1aUOg,We The Best Forever,2011-01-01,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
2IRZnDFmlqMuOrYOLnZZyc,180522,Going Bad (feat. Drake),82,0.889,0.496,-6.365,0.0905,0.259,0.0,0.252,0.544,86.003,6UYZEYjpN1DYRW0kqFy9ZE,Championships,2018-11-30,20sxb77xiYeusSH8cVdatc,Meek Mill
42zd6DYQ4o4SECmTITrM1U,230693,Dreams and Nightmares,77,0.631,0.774,-2.459,0.3,0.468,0.0,0.281,0.44,79.745,0zhZDmHEtDtok393SbZ3d7,Dreams and Nightmares (Deluxe Edition),2012-10-26,20sxb77xiYeusSH8cVdatc,Meek Mill
3T9BKc4kB7ukeNQrCqv6ZV,161052,Sharing Locations (feat. Lil Baby & Lil Durk),66,0.681,0.63,-5.585,0.0385,0.00383,0.0,0.139,0.183,151.951,3cLQ49Ll3nGRkw3HSSk92K,Expensive Pain,2021-10-01,20sxb77xiYeusSH8cVdatc,Meek Mill
0Y0TOsE1q11qgbi7c5WZsG,197133,R.I.C.O. (feat. Drake),72,0.727,0.599,-6.941,0.327,0.317,0.0,0.219,0.386,167.909,2O3OKOYCub892PUGprsaQo,Dreams Worth More Than Money,2015-06-29,20sxb77xiYeusSH8cVdatc,Meek Mill
0hy1SOTEn9ifXTzOwnCwEr,223973,All Eyes on You (feat. Chris Brown & Nicki Minaj),71,0.589,0.658,-5.288,0.203,0.0242,0.0,0.118,0.251,77.521,2O3OKOYCub892PUGprsaQo,Dreams Worth More Than Money,2015-06-29,20sxb77xiYeusSH8cVdatc,Meek Mill
7Gs3otHnZDq514kFHf0nx7,227808,Blue Notes,70,0.515,0.431,-8.251,0.257,0.665,0.0,0.147,0.184,141.392,6sNbRwX0lZREkdmUSDsVzo,DC4,2016-10-28,20sxb77xiYeusSH8cVdatc,Meek Mill
3i1B1PnsfnOQPGVIzhf1lr,199746,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",69,0.723,0.732,-5.514,0.0864,0.11,0.0,0.484,0.503,104.991,3wDMK9yGHVUEweHksZmGTU,"That's My N**** (with Meek Mill, YG & Snoop Dogg) [From Bright: The Album]",2017-12-15,20sxb77xiYeusSH8cVdatc,Meek Mill
3lb5fWSG2p7x8ik8HN9oFR,233749,Dangerous (feat. Jeremih and PnB Rock),66,0.734,0.493,-7.528,0.308,0.0467,0.0,0.0477,0.562,86.043,6UYZEYjpN1DYRW0kqFy9ZE,Championships,2018-11-30,20sxb77xiYeusSH8cVdatc,Meek Mill
7sjwaBQ6M3aVigYfBjm1sL,250240,Ima Boss (feat. Rick Ross),67,0.37,0.87,-2.09,0.271,0.0415,0.0,0.604,0.331,79.092,1xE3Obhzdpw4aIqPDMf4I4,"MMG Presents: Self Made, Vol. 1",2011-05-23,20sxb77xiYeusSH8cVdatc,Meek Mill
5J5PXmMdQ2nh1lZOal8KmK,280615,Litty (feat. Tory Lanez),63,0.592,0.701,-4.014,0.0858,0.0451,0.0,0.327,0.282,129.501,6sNbRwX0lZREkdmUSDsVzo,DC4,2016-10-28,20sxb77xiYeusSH8cVdatc,Meek Mill
0vjeOZ3Ft5jvAi9SBFJm1j,182666,Superhero (Heroes & Villains) [with Future & Chris Brown],90,0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,2022-12-02,1RyvyyTE3xzB2ZywiAwp0i,Metro Boomin
2Hh3ETdQKrmSI3QS0hme7g,199920,Too Many Nights (feat. Don Toliver & with Future),89,0.684,0.671,-4.392,0.0464,0.189,2.37e-05,0.122,0.156,88.048,7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,2022-12-02,1RyvyyTE3xzB2ZywiAwp0i,Metro Boomin
4VMRsbfZzd3SfQtaJ1Wpwi,268235,Double Fantasy (with Future),87,0.6,0.567,-7.269,0.033,0.00621,8.73e-06,0.495,0.0951,119.043,0Ct52rooGyvjv6qXrBPNzm,Double Fantasy,2023-04-21,1RyvyyTE3xzB2ZywiAwp0i,The Weeknd
59nOXPmaKlBfGMDeOVGrIK,189893,WAIT FOR U (feat. Drake & Tems),87,0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,0.339,83.389,6tE9Dnp2zInFij4jKssysL,I NEVER LIKED YOU,2022-04-29,1RyvyyTE3xzB2ZywiAwp0i,Future
52NGJPcLUzQq5w7uv4e5gf,238253,Private Landing (feat. Justin Bieber & Future),84,0.843,0.669,-4.105,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,26z5llzd194mcCZHADWd6k,Love Sick,2023-02-24,1RyvyyTE3xzB2ZywiAwp0i,Don Toliver
0VgkVdmE4gld66l8iyGjgx,204600,Mask Off,84,0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062,17FBoXK1NU2rvJBbzdzw0r,FUTURE,2017-06-30,1RyvyyTE3xzB2ZywiAwp0i,Future
1qMMYpVatbRITKCfq1gasi,172933,PUFFIN ON ZOOTIEZ,82,0.883,0.657,-5.748,0.305,0.0603,0.0,0.128,0.284,124.992,6tE9Dnp2zInFij4jKssysL,I NEVER LIKED YOU,2022-04-29,1RyvyyTE3xzB2ZywiAwp0i,Future
4lH6nENd1y81jp7Yt9lTBX,265996,Solo,82,0.784,0.486,-6.497,0.0475,0.0538,0.497,0.101,0.0894,110.964,7K6OykPbezfgKgBufihn6X,HNDRXX,2017-07-27,1RyvyyTE3xzB2ZywiAwp0i,Future
1K5KBOgreBi5fkEHvg5ap3,237918,Life Is Good (feat. Drake),75,0.795,0.574,-6.903,0.487,0.067,0.0,0.15,0.537,142.053,4bNPOFOzxGhF5jhfIK6lit,High Off Life,2020-05-15,1RyvyyTE3xzB2ZywiAwp0i,Future
4fbXBeVeqzZ0SmJQcWm4St,192000,Never Imagined (feat. Future),81,0.695,0.673,-7.261,0.245,0.0313,0.0,0.322,0.273,80.063,6ciIG1XKTlVIn0Yl8rvsce,Almost Healed,2023-05-26,1RyvyyTE3xzB2ZywiAwp0i,Lil Durk
5fEB6ZmVkg63GZg9qO86jh,99213,Break from Toronto,85,0.595,0.678,-5.18,0.0335,0.0199,0.00389,0.418,0.259,117.067,1q4B7r3dzzwkarZ1B9bk9e,PARTYNEXTDOOR,2013-07-01,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
3JEJwjqLkg2Jbau5922CAb,216630,Her Way,78,0.542,0.487,-9.53,0.0286,0.0544,0.000885,0.0872,0.119,111.307,1xwhNJCfTwuRia7Cpo7IbJ,PARTYNEXTDOOR TWO,2014-07-29,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
5c3luoCub1Z1Gg74NdNtuq,98023,Belong to the City,77,0.582,0.482,-9.813,0.0479,0.709,0.00138,0.129,0.193,88.198,1xwhNJCfTwuRia7Cpo7IbJ,PARTYNEXTDOOR TWO,2014-07-29,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
6cEguiQecbXrFlsnMi2ysr,235477,Come and See Me (feat. Drake),75,0.77,0.347,-10.265,0.0623,0.0511,2.57e-06,0.087,0.0583,84.957,2veXxRriGPw4fFBZQNNMfQ,PARTYNEXTDOOR 3 (P3),2016-08-12,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
0T7dLau2Ccr9CbeXtOB4vU,182164,Her Way (Sped Up),74,0.459,0.521,-9.426,0.0342,0.0541,0.00396,0.104,0.122,132.163,1uYvJPQzUytNlcAIHSQPI0,Her Way (Sped Up),2014-07-29,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
7FullO2NDkyvxLuxYVKINa,283285,Excitement (feat. PARTYNEXTDOOR),70,0.443,0.536,-8.187,0.0378,0.0194,4.24e-05,0.1,0.0391,121.967,2vMi9So8GxXiqaT2zJXbQG,Pegasus,2020-10-30,2HPaUgqeutzr3jx5a9WyDV,Trippie Redd
1DMYEiuAgz1OKvANXiNFrN,311197,Recognize (feat. Drake),72,0.644,0.541,-5.801,0.0426,0.0102,0.0,0.102,0.165,119.513,1xwhNJCfTwuRia7Cpo7IbJ,PARTYNEXTDOOR TWO,2014-07-29,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
6WHZvtFnceMMv08gUCHR0y,183219,BELIEVE IT,71,0.431,0.7,-5.35,0.265,0.0901,0.0,0.216,0.73,157.871,7z20vHCSgu68lplj1Q976a,PARTYMOBILE,2020-03-27,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
2SWbnWSe1onmbllRAU46uo,174306,PERSIAN RUGS,71,0.768,0.428,-8.156,0.0459,0.0489,0.000491,0.105,0.147,110.478,1ZJpGFHYQSTDTIk6bzo5sh,PARTYPACK,2020-10-16,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
43IMaycr34ZR5kS8mlL5hH,205733,Just Might (with PARTYNEXTDOOR),71,0.69,0.377,-7.907,0.0793,0.672,1.06e-06,0.106,0.18,104.924,1qgJNWnPIeK9rx7hF8JCPK,Over It,2019-10-04,2HPaUgqeutzr3jx5a9WyDV,Summer Walker
3azJifCSqg9fRij2yKIbWz,226466,The Color Violet,89,0.645,0.534,-10.8,0.0479,0.157,0.0,0.0863,0.463,105.02,5Gm2XKBgnlzd6qTi7LE1z2,Alone At Prom,2021-12-10,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
2MbdDtCv5LUVjYy9RuGTgC,227478,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",75,0.904,0.723,-5.224,0.26,0.0631,0.0,0.185,0.835,145.013,36jrqYRpGVpJqztuqCii22,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",2020-06-24,2jku7tDXc6XoB6MO2hFuqg,Jack Harlow
4xqIYGwwZTEem9U8A42SPF,132023,Broke In A Minute,78,0.929,0.7,-5.595,0.0906,0.144,0.0,0.349,0.802,120.009,2TbrXjwWklhT7JrC5sdUkf,The New Toronto 3,2020-04-10,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
2Gyc6e2cLxA5hoX1NOvYnU,237786,Say It,77,0.546,0.529,-10.511,0.0583,0.0862,6.5e-06,0.124,0.247,107.331,5tBOCi2TekXZ1IbrmlBZO4,I Told You,2016-08-19,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
1au2UduxcvHfa0fZS3Szci,151966,Lavender Sunflower,77,0.607,0.735,-6.065,0.095,0.253,0.0,0.11,0.964,88.894,5Gm2XKBgnlzd6qTi7LE1z2,Alone At Prom,2021-12-10,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
6ieWL5CLN9WdC875guWtMe,193993,Lady Of Namek,74,0.676,0.659,-5.123,0.0476,0.194,0.0,0.283,0.595,134.985,5Gm2XKBgnlzd6qTi7LE1z2,Alone At Prom,2021-12-10,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
6ydWxkzjDktHsTzvWcaZ1i,293306,In For It,73,0.383,0.531,-7.814,0.0741,0.0753,0.000102,0.108,0.0375,105.971,1zNQyKjH8md6OusODwlmfs,In For It,2015-01-15,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
5uKHTLXNcftXtYfU7j9cQ6,133521,I LIKE,72,0.744,0.448,-10.426,0.291,0.365,0.0,0.194,0.279,118.027,7B7P4TryG33IWOp5b8et8L,I LIKE,2022-04-22,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
0Odu228D0yGcFySGuxU4rY,221492,The Take (feat. Chris Brown),71,0.464,0.547,-8.137,0.339,0.0511,0.0,0.155,0.423,67.003,6vVhekA9LRg0MWIQaxI37f,Chixtape 5,2019-11-15,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
4sMmYKC0ot3GTbl2RzHw7T,326813,And This is Just The Intro,71,0.53,0.517,-9.253,0.399,0.387,0.0,0.176,0.381,137.554,0ccEYmcKK8UKt5zZ0lGgJ7,PLAYBOY,2021-03-05,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
5wG3HvLhF6Y5KTGlK0IW3J,194786,Trance (with Travis Scott & Young Thug),90,0.571,0.549,-7.38,0.404,0.18,0.0,0.168,0.447,119.497,7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,2022-12-02,50co4Is1HCEo8bhOyUWKpn,Metro Boomin
0k1WUmIRnG3xU6fvvDVfRG,257604,Way 2 Sexy (with Future & Young Thug),78,0.803,0.597,-6.035,0.141,0.000619,4.5e-06,0.323,0.331,136.008,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,50co4Is1HCEo8bhOyUWKpn,Drake
1IIKrJVP1C9N7iPtG6eOsK,176960,Go Crazy,78,0.755,0.578,-8.932,0.145,0.316,0.0,0.25,0.581,94.148,7fZKtzZAsfH0kzeTivu5TG,Slime & B,2020-05-08,50co4Is1HCEo8bhOyUWKpn,Chris Brown
2beD5W9IkefQ04IO39XF7w,190133,My wrist (with Young Thug),76,0.784,0.616,-7.159,0.0927,0.0042,0.00592,0.256,0.291,137.019,05zSfoTPUX9IFb4AYbBaBz,My wrist (with Young Thug),2023-05-26,50co4Is1HCEo8bhOyUWKpn,Yeat
4GXl8l1MfZPf2GvpyRPJBf,252262,pick up the phone,72,0.706,0.716,-4.263,0.0768,0.115,0.0,0.316,0.459,136.904,4MDMfOdhV1IyoRnklwOHG9,pick up the phone,2016-06-03,50co4Is1HCEo8bhOyUWKpn,Young Thug
2VtgzixdB967bHDNu5A1nh,174560,Metro Spider (with Young Thug),76,0.709,0.734,-5.027,0.125,0.0411,0.0,0.346,0.245,143.087,7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,2022-12-02,50co4Is1HCEo8bhOyUWKpn,Metro Boomin
3h8tI65xdfpQyTAy7Grqwa,215215,Potion (with Dua Lipa & Young Thug),66,0.824,0.697,-4.869,0.0473,0.158,4.11e-05,0.0751,0.757,99.987,49DV9eFp2xTdtO7veew5xS,Funk Wav Bounces Vol. 2,2022-08-05,50co4Is1HCEo8bhOyUWKpn,Calvin Harris
4ea9w8c4ROqiZpJVhfBA3m,279906,Hot (Remix) [feat. Gunna and Travis Scott],74,0.845,0.631,-8.206,0.216,0.188,0.0,0.0806,0.545,111.983,24jAbLMFzCTlIv3kQ94HwK,So Much Fun (Deluxe),2019-12-20,50co4Is1HCEo8bhOyUWKpn,Young Thug
3s4mrPrEFFPF0LmAfutW0n,200186,The London (feat. J. Cole & Travis Scott),69,0.784,0.517,-8.981,0.209,0.0249,1.44e-06,0.155,0.206,97.991,1bnHPO4dKK7IjvgrtVBcQh,So Much Fun,2019-08-16,50co4Is1HCEo8bhOyUWKpn,Young Thug
6rTInqW3YECMkQsBEHw4sd,215693,Solid (feat. Drake),74,0.887,0.485,-9.358,0.2,0.0392,0.0,0.141,0.328,125.987,3ihwKkIMJWmmp1huNH0iWC,Slime Language 2,2021-04-16,50co4Is1HCEo8bhOyUWKpn,Young Stoner Life
5ry2OE6R2zPQFDO85XkgRb,205426,Money In The Grave (Drake ft. Rick Ross),79,0.831,0.502,-4.045,0.046,0.101,0.0,0.122,0.101,100.541,00HZxSA1sOS9T3nA950sg4,The Best In The World Pack,2019-06-15,1sBkRIssrMs1AbVkOJbc7a,Drake
5W7xC99N2Zzfh69r7I7zWK,270626,Aston Martin Music,71,0.57,0.58,-5.547,0.21,0.0124,0.0,0.0498,0.404,171.812,0jipZxGtkTDHjVerLkzO80,Teflon Don,2010-01-01,1sBkRIssrMs1AbVkOJbc7a,Rick Ross
3hQCHzkE5oSA3F1xM8bpcM,254093,Hustlin',70,0.502,0.652,-7.224,0.3,0.0848,0.0,0.0675,0.648,136.08,42T8qfRs7jdpInsSk6nDJk,Port Of Miami,2006-01-01,1sBkRIssrMs1AbVkOJbc7a,Rick Ross
